Kod;Nazwa;Ważniejsze przyczyny wypadków;Rok;Wartosc;Jednostka miary;Atrybut
0000000;POLSKA;wina pieszych - pozostałe;2019;-;szt.; 
0000000;POLSKA;wina pieszych - pozostałe;2020;-;szt.; 
0000000;POLSKA;wina pieszych - pozostałe;2021;459;szt.; 
0000000;POLSKA;wina pieszych - pozostałe;2022;407;szt.; 
0000000;POLSKA;wina pieszych - pozostałe;2023;385;szt.; 
0000000;POLSKA;wina pasażerów;2014;-;szt.; 
0000000;POLSKA;wina pasażerów;2015;-;szt.; 
0000000;POLSKA;wina pasażerów;2016;-;szt.; 
0000000;POLSKA;wina pasażerów;2017;-;szt.; 
0000000;POLSKA;wina pasażerów;2018;-;szt.; 
0000000;POLSKA;wina pasażerów;2019;-;szt.; 
0000000;POLSKA;wina pasażerów;2020;-;szt.; 
0000000;POLSKA;wina pasażerów;2021;-;szt.; 
0000000;POLSKA;wina pasażerów;2022;-;szt.; 
0000000;POLSKA;wina pasażerów;2023;128;szt.; 
0000000;POLSKA;współwina;2014;-;szt.; 
0000000;POLSKA;współwina;2015;-;szt.; 
0000000;POLSKA;współwina;2016;-;szt.; 
0000000;POLSKA;współwina;2017;-;szt.; 
0000000;POLSKA;współwina;2018;-;szt.; 
0000000;POLSKA;współwina;2019;-;szt.; 
0000000;POLSKA;współwina;2020;-;szt.; 
0000000;POLSKA;współwina;2021;-;szt.; 
0000000;POLSKA;współwina;2022;-;szt.; 
0000000;POLSKA;współwina;2023;193;szt.; 
0000000;POLSKA;pozostałe przyczyny;2014;-;szt.; 
0000000;POLSKA;pozostałe przyczyny;2015;-;szt.; 
0000000;POLSKA;pozostałe przyczyny;2016;-;szt.; 
0000000;POLSKA;pozostałe przyczyny;2017;-;szt.; 
0000000;POLSKA;pozostałe przyczyny;2018;-;szt.; 
0000000;POLSKA;pozostałe przyczyny;2019;-;szt.; 
0000000;POLSKA;pozostałe przyczyny;2020;-;szt.; 
0000000;POLSKA;pozostałe przyczyny;2021;-;szt.; 
0000000;POLSKA;pozostałe przyczyny;2022;-;szt.; 
0000000;POLSKA;pozostałe przyczyny;2023;527;szt.; 
0200000;DOLNOŚLĄSKIE;ogółem;2014;-;szt.; 
0200000;DOLNOŚLĄSKIE;ogółem;2015;-;szt.; 
0200000;DOLNOŚLĄSKIE;ogółem;2016;-;szt.; 
0200000;DOLNOŚLĄSKIE;ogółem;2017;-;szt.; 
0200000;DOLNOŚLĄSKIE;ogółem;2018;-;szt.; 
0200000;DOLNOŚLĄSKIE;ogółem;2019;-;szt.; 
0200000;DOLNOŚLĄSKIE;ogółem;2020;-;szt.; 
0200000;DOLNOŚLĄSKIE;ogółem;2021;-;szt.; 
0200000;DOLNOŚLĄSKIE;ogółem;2022;-;szt.; 
0200000;DOLNOŚLĄSKIE;ogółem;2023;1791;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2014;2032;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2015;1875;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2016;1998;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2017;1866;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2018;1863;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2019;1642;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2020;1393;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2021;1542;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2022;1702;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2023;1651;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2014;585;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2015;466;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2016;565;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2017;486;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2018;471;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2019;419;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2020;375;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2021;401;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2022;362;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2023;379;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2014;532;szt.; 
0200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2015;507;szt.; 
