Kod;Nazwa;Ważniejsze przyczyny wypadków;Rok;Wartosc;Jednostka miary;Region_Type
0;POLSKA;pozostałe przyczyny;2014;-;szt.;kraj
0;POLSKA;pozostałe przyczyny;2015;-;szt.;kraj
0;POLSKA;pozostałe przyczyny;2016;-;szt.;kraj
0;POLSKA;pozostałe przyczyny;2017;-;szt.;kraj
0;POLSKA;pozostałe przyczyny;2018;-;szt.;kraj
0;POLSKA;pozostałe przyczyny;2019;-;szt.;kraj
0;POLSKA;pozostałe przyczyny;2020;-;szt.;kraj
0;POLSKA;pozostałe przyczyny;2021;-;szt.;kraj
0;POLSKA;pozostałe przyczyny;2022;-;szt.;kraj
0;POLSKA;pozostałe przyczyny;2023;527;szt.;kraj
200000;DOLNOŚLĄSKIE;ogółem;2014;-;szt.;województwo
200000;DOLNOŚLĄSKIE;ogółem;2015;-;szt.;województwo
200000;DOLNOŚLĄSKIE;ogółem;2016;-;szt.;województwo
200000;DOLNOŚLĄSKIE;ogółem;2017;-;szt.;województwo
200000;DOLNOŚLĄSKIE;ogółem;2018;-;szt.;województwo
200000;DOLNOŚLĄSKIE;ogółem;2019;-;szt.;województwo
200000;DOLNOŚLĄSKIE;ogółem;2020;-;szt.;województwo
200000;DOLNOŚLĄSKIE;ogółem;2021;-;szt.;województwo
200000;DOLNOŚLĄSKIE;ogółem;2022;-;szt.;województwo
200000;DOLNOŚLĄSKIE;ogółem;2023;1791;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2014;2032;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2015;1875;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2016;1998;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2017;1866;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2018;1863;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2019;1642;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2020;1393;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2021;1542;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2022;1702;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - ogółem;2023;1651;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2014;585;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2015;466;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2016;565;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2017;486;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2018;471;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2019;419;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2020;375;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2021;401;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2022;362;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu;2023;379;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2014;532;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2015;507;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2016;480;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2017;446;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2018;489;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2019;433;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2020;370;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2021;419;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2022;398;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu;2023;387;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe wyprzedzanie;2014;99;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe wyprzedzanie;2015;110;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe wyprzedzanie;2016;86;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe wyprzedzanie;2017;87;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe wyprzedzanie;2018;90;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe wyprzedzanie;2019;82;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe wyprzedzanie;2020;60;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe wyprzedzanie;2021;78;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe wyprzedzanie;2022;66;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe wyprzedzanie;2023;62;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych;2014;283;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych;2015;275;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych;2016;295;szt.;województwo
